date,max,min
2014.09.02   ,25,16
2014.09.03   ,28,17
2014.09.04   ,29,17
2014.09.05   ,28,16
2014.09.06   ,28,17
2014.09.07   ,29,17
2014.09.08   ,29,17
2014.09.09   ,29,18
2014.09.10   ,22,15
2014.09.11   ,22,15
2014.09.12   ,20,14
2014.09.13   ,24,16
2014.09.14   ,21,15
2014.09.15   ,20,13
2014.09.16   ,24,13
2014.09.17   ,26,14
2014.09.18   ,25,13
2014.09.19   ,21,13
2014.09.20   ,27,16
2014.09.21   ,26,16
2014.09.22   ,18,8
2014.09.23   ,17,8
2014.09.24   ,18,8
2014.09.25   ,19,9
2014.09.26   ,20,10
2014.09.27   ,20,11
2014.09.28   ,25,13
2014.09.29   ,24,12
2014.09.30   ,24,12
2014.10.01   ,23,15
2014.10.02   ,23,12
2014.10.03   ,20,12
2014.10.04   ,20,12
2014.10.05   ,20,10
2014.10.06   ,19,10
2014.10.07   ,19,10
2014.10.08   ,17,11
2014.10.09   ,22,12
2014.10.10   ,25,14
2014.10.11   ,25,14
2014.10.12   ,26,15
2014.10.13   ,25,16
2014.10.14   ,25,13
2014.10.15   ,18,13
2014.10.16   ,22,14
2014.10.17   ,19,10
2014.10.18   ,21,13
2014.10.19   ,19,10
2014.10.20   ,22,14
2014.10.21   ,18,12
2014.10.22   ,9,5
2014.10.23   ,12,7
2014.10.24   ,10,6
2014.10.25   ,14,5
2014.10.26   ,13,4
2014.10.27   ,15,5
2014.10.28   ,16,3
2014.10.29   ,12,3
2014.10.30   ,12,6
2014.10.31   ,13,4
2014.11.01   ,14,5
2014.11.02   ,13,5
2014.11.03   ,12,5
2014.11.04   ,15,7
2014.11.05   ,16,8
2014.11.06   ,16,10
2014.11.07   ,17,11
2014.11.08   ,18,10
2014.11.09   ,17,9
2014.11.10   ,17,10
2014.11.11   ,16,8
2014.11.12   ,13,9
2014.11.13   ,15,8
2014.11.14   ,15,7
2014.11.15   ,13,6
2014.11.16   ,10,7
2014.11.17,10,7
2014.11.18,10,6
2014.11.19,10,4
2014.11.20 ,9,3
2014.11.21 ,9,2
2014.11.22 ,8,1
2014.11.23 ,8,1
2014.11.24 ,6,2
2014.11.25 ,6,1
2014.11.26 ,5,-1
2014.11.27cs?t?rt?k ,4,-5
2014.11.28p?ntek ,2,1
2014.11.29szombat ,2,1
2014.11.30vas?rnap ,3,0
2014.12.01h?tfo ,2,0
2014.12.02kedd ,2,1
2014.12.03szerda ,6,2
2014.12.04cs?t?rt?k ,7,1
2014.12.05p?ntek ,7,4
2014.12.06szombat ,8,4
2014.12.07vas?rnap ,6,3
2014.12.08h?tfo ,5,0
2014.12.09kedd ,4,-1
2014.12.10szerda ,4,0
2014.12.11cs?t?rt?k ,5,-5
2014.12.12p?ntek ,6,-4
2014.12.13szombat ,7,-2
2014.12.14vas?rnap ,8,4
2014.12.15h?tfo ,8,3
2014.12.16kedd ,7,2
2014.12.17szerda ,8,3
2014.12.18cs?t?rt?k ,9,-1
2014.12.19p?ntek ,11,5
2014.12.20szombat ,9,2
2014.12.21vas?rnap ,6,2
2014.12.22h?tfo ,9,4
2014.12.23kedd ,11,4
2014.12.24szerda ,10,3
2014.12.25cs?t?rt?k ,9,2
2014.12.26p?ntek ,4,-2
2014.12.27szombat ,2,-3
2014.12.28vas?rnap ,0,-5
2014.12.29h?tfo ,-2,-8
2014.12.30kedd ,-5,-10
2014.12.31szerda ,-4,-9
2015.01.01cs?t?rt?k ,-3,-13
2015.01.02p?ntek ,1,-7
2015.01.03szombat ,4,-1
2015.01.04vas?rnap ,3,-3
2015.01.05h?tfo ,3,-4
2015.01.06kedd ,3,-6
2015.01.07szerda ,-4,-7
2015.01.08cs?t?rt?k ,-1,-4
2015.01.09p?ntek ,4,-3
2015.01.10szombat ,12,8
2015.01.11vas?rnap ,6,1
2015.01.12h?tfo ,5,0
2015.01.13kedd ,7,-5
2015.01.14szerda ,6,1
2015.01.15cs?t?rt?k ,6,0
2015.01.16p?ntek ,6,1
2015.01.17szombat ,7,1
2015.01.18vas?rnap ,9,4
2015.01.19h?tfo ,7,3
2015.01.20kedd ,6,3
2015.01.21szerda ,8,4
2015.01.22cs?t?rt?k ,7,4
2015.01.23p?ntek ,9,2
2015.01.24szombat ,6,0
2015.01.25vas?rnap ,3,-2
2015.01.26h?tfo ,2,-1
2015.01.27kedd ,1,-3
2015.01.28szerda ,2,-3
2015.01.29cs?t?rt?k ,1,-2
2015.01.30p?ntek ,6,-1
2015.01.31szombat ,2,-1
2015.02.01vas?rnap ,1,-8
2015.02.02h?tfo ,2,-3
2015.02.03kedd ,3,-2
2015.02.04szerda ,2,-1
2015.02.05cs?t?rt?k ,3,-1
2015.02.06p?ntek ,3,-4
2015.02.07szombat ,1,-3
2015.02.08vas?rnap ,2,-4
2015.02.09h?tfo ,1,-2
2015.02.10kedd ,5,1
2015.02.11szerda ,5,-1
2015.02.12cs?t?rt?k ,6,1
2015.02.13p?ntek ,6,1
2015.02.14szombat ,7,2
2015.02.15vas?rnap ,7,2
2015.02.16h?tfo ,6,-1
2015.02.17kedd ,4,-1
2015.02.18szerda ,6,-1
2015.02.19cs?t?rt?k ,5,0
2015.02.20p?ntek ,7,1
2015.02.21szombat ,10,2
2015.02.22vas?rnap ,9,5
2015.02.23h?tfo ,9,4
2015.02.24kedd ,12,5
2015.02.25szerda ,10,5
2015.02.26cs?t?rt?k ,8,5
2015.02.27p?ntek ,10,5
2015.02.28szombat ,10,3
2015.03.01vas?rnap ,11,5
2015.03.02h?tfo ,14,3
2015.03.03kedd ,8,2
2015.03.04szerda ,10,3
2015.03.05cs?t?rt?k ,8,1
2015.03.06p?ntek ,8,0
2015.03.07szombat ,12,2
2015.03.08vas?rnap ,10,3
2015.03.09h?tfo ,13,5
2015.03.10kedd ,15,5
2015.03.11szerda ,14,5
2015.03.12cs?t?rt?k ,10,4
2015.03.13p?ntek ,10,4
2015.03.15vas?rnap ,14,7
2015.03.16h?tfo ,14,7
2015.03.17kedd ,14,3
2015.03.18szerda ,11,2
2015.03.19cs?t?rt?k ,11,5
2015.03.20p?ntek ,13,4
2015.03.21szombat ,14,6
2015.03.22vas?rnap ,14,3
2015.03.23h?tfo ,14,5
2015.03.24kedd ,15,7
2015.03.25szerda ,17,9
2015.03.26cs?t?rt?k ,20,10
2015.03.27p?ntek ,14,8
2015.03.28szombat ,12,3
2015.03.29vas?rnap ,13,8
2015.03.30h?tfo ,12,3
2015.03.31kedd ,12,6
2015.04.01szerda ,9,3
2015.04.02cs?t?rt?k ,9,1
2015.04.03p?ntek ,9,1
2015.04.04szombat ,12,2
2015.04.05vas?rnap ,11,1
2015.04.06h?tfo ,10,3
2015.04.07kedd ,12,2
2015.04.08szerda ,14,5
2015.04.09cs?t?rt?k ,17,5
2015.04.10p?ntek ,18,8
2015.04.11szombat ,21,10
2015.04.12vas?rnap ,21,9
2015.04.13h?tfo ,21,7
2015.04.14kedd ,14,8
2015.04.15szerda ,23,12
2015.04.16cs?t?rt?k ,26,11
2015.04.17p?ntek ,24,10
2015.04.18szombat ,14,3
2015.04.19vas?rnap ,14,5
2015.04.20h?tfo ,16,5
2015.04.21kedd ,17,7
2015.04.22szerda ,20,8
2015.04.23cs?t?rt?k ,21,9
2015.04.24p?ntek ,23,11
2015.04.25szombat ,23,12
2015.04.26vas?rnap ,22,11
2015.04.27h?tfo ,24,13
2015.04.28kedd ,18,8
2015.04.29szerda ,20,7
2015.04.30cs?t?rt?k ,19,9
2015.05.01p?ntek ,20,13
2015.05.02szombat ,21,11
2015.05.03vas?rnap ,19,12
2015.05.04h?tfo ,28,15
2015.05.05kedd ,29,17
2015.05.06szerda ,29,14
2015.05.07cs?t?rt?k ,25,12
2015.05.08p?ntek ,25,12
2015.05.09szombat ,26,14
2015.05.10vas?rnap ,22,8
2015.05.11h?tfo ,23,9
2015.05.12kedd ,25,13
2015.05.13szerda ,25,13
2015.05.14cs?t?rt?k ,23,9
2015.05.15p?ntek ,19,11
2015.05.16szombat ,25,12
2015.05.17vas?rnap ,22,9
2015.05.18h?tfo ,25,13
2015.05.19kedd ,30,14
2015.05.20szerda ,31,11
2015.05.21cs?t?rt?k ,22,14
2015.05.22p?ntek ,23,13
2015.05.23szombat ,22,13
2015.05.24vas?rnap ,27,13
2015.05.25h?tfo ,25,15
2015.05.26kedd ,21,11
2015.05.27szerda ,20,10
2015.05.28cs?t?rt?k ,21,10
2015.05.29p?ntek ,26,12
2015.05.30szombat ,27,15
2015.05.31vas?rnap ,28,15
2015.06.01h?tfo ,30,16
2015.06.02kedd ,32,18
2015.06.03szerda ,32,20
2015.06.04cs?t?rt?k ,32,15
2015.06.05p?ntek ,27,15
2015.06.06szombat ,33,18
2015.06.07vas?rnap ,32,18
2015.06.08h?tfo ,32,18
2015.06.09kedd ,31,18
2015.06.10szerda ,32,18
2015.06.11cs?t?rt?k ,32,18
2015.06.12p?ntek ,32,20
2015.06.13szombat ,32,19
2015.06.14vas?rnap ,33,20
2015.06.15h?tfo ,31,17
2015.06.16kedd ,28,16
2015.06.17szerda ,22,12
2015.06.18cs?t?rt?k ,25,14
2015.06.19p?ntek ,25,11
2015.06.20szombat ,24,10
2015.06.21vas?rnap ,23,11
2015.06.22h?tfo ,26,14
2015.06.23kedd ,20,12
2015.06.24szerda ,23,12
2015.06.25cs?t?rt?k ,26,13
2015.06.26p?ntek ,27,15
2015.06.27szombat ,28,16
2015.06.28vas?rnap ,26,15
2015.06.29h?tfo ,28,15
2015.06.30kedd ,30,16
2015.07.01szerda ,31,17
2015.07.02cs?t?rt?k ,31,17
2015.07.03p?ntek ,31,18
2015.07.04szombat ,34,21
2015.07.05vas?rnap ,36,22
2015.07.06h?tfo ,37,20
2015.07.07kedd ,37,24
2015.07.08szerda ,38,17
2015.07.09cs?t?rt?k ,27,13
2015.07.10p?ntek ,25,13
2015.07.11szombat ,28,14
2015.07.12vas?rnap ,32,20
2015.07.13h?tfo ,30,18
2015.07.14kedd ,28,17
2015.07.15szerda ,30,18
2015.07.16cs?t?rt?k ,35,21
2015.07.17p?ntek ,37,23
2015.07.18szombat ,39,23
2015.07.19vas?rnap ,39,26
2015.07.20h?tfo ,33,21
2015.07.21kedd ,36,24
2015.07.22szerda ,39,24
2015.07.23cs?t?rt?k ,39,22
2015.07.24p?ntek ,37,24
2015.07.25szombat ,36,18
2015.07.26vas?rnap ,25,17
2015.07.27h?tfo ,30,17
2015.07.28kedd ,23,19
2015.07.29szerda ,25,16
2015.07.30cs?t?rt?k ,20,14
2015.07.31p?ntek ,27,13
2015.08.01szombat ,32,17
2015.08.02vas?rnap ,30,19
2015.08.03h?tfo ,35,22
2015.08.04kedd ,35,22
2015.08.05szerda ,36,23
2015.08.06cs?t?rt?k ,37,24
2015.08.07p?ntek ,36,24
2015.08.08szombat ,38,24
2015.08.09vas?rnap ,38,23
2015.08.10h?tfo ,36,23
2015.08.11kedd ,37,23
2015.08.12szerda ,39,24
2015.08.13cs?t?rt?k ,38,24
2015.08.14p?ntek ,36,22
2015.08.15szombat ,38,24
2015.08.16vas?rnap ,37,20
2015.08.17h?tfo ,27,17
2015.08.18kedd ,25,16
2015.08.19szerda ,23,15
2015.08.20cs?t?rt?k ,24,15
2015.08.21p?ntek ,25,16
2015.08.22szombat ,23,15
2015.08.23vas?rnap ,27,17
2015.08.24h?tfo ,30,20
2015.08.25kedd ,26,16
2015.08.26szerda ,32,20
2015.08.27cs?t?rt?k ,33,21
2015.08.28p?ntek ,35,24
2015.08.29szombat ,38,23
2015.08.30vas?rnap ,37,25
2015.08.31h?tfo ,38,24
2015.09.01kedd ,36,21
2015.09.02szerda ,32,18
2015.09.03cs?t?rt?k ,32,19
2015.09.04p?ntek ,28,18
2015.09.05szombat ,20,12
2015.09.06vas?rnap ,21,11
2015.09.07h?tfo ,19,10
2015.09.08kedd ,21,11
2015.09.09szerda ,22,12
2015.09.10cs?t?rt?k ,22,13
2015.09.11p?ntek ,17,11
2015.09.12szombat ,26,15
2015.09.13vas?rnap ,26,15
2015.09.14h?tfo ,30,18
2015.09.15kedd ,31,20
2015.09.16szerda ,32,23
2015.09.17cs?t?rt?k ,34,19
2015.09.18p?ntek ,34,19
2015.09.19szombat ,29,17
2015.09.20vas?rnap ,23,12
2015.09.21h?tfo ,22,13
2015.09.22kedd ,24,15
2015.09.23szerda ,28,14
2015.09.24cs?t?rt?k ,28,16
2015.09.25p?ntek ,20,15
2015.09.26szombat ,17,12
2015.09.27vas?rnap ,20,10
2015.09.28h?tfo ,18,12
2015.09.29kedd ,18,9
2015.09.30szerda ,17,8
2015.10.01cs?t?rt?k ,20,11
2015.10.02p?ntek ,22,13
2015.10.03szombat ,22,14
2015.10.04vas?rnap ,24,14
2015.10.05h?tfo ,22,13
2015.10.06kedd ,23,15
2015.10.07szerda ,22,11
2015.10.08cs?t?rt?k ,18,12
2015.10.09p?ntek ,18,12
2015.10.10szombat ,16,10
2015.10.11vas?rnap ,11,6
2015.10.12h?tfo ,11,5
2015.10.13kedd ,12,4
2015.10.14szerda ,13,10
2015.10.15cs?t?rt?k ,15,11
2015.10.16p?ntek ,17,10
2015.10.17szombat ,17,9
2015.10.18vas?rnap ,16,11
2015.10.19h?tfo ,14,8
2015.10.20kedd ,12,5
2015.10.21szerda ,13,6
2015.10.22cs?t?rt?k ,14,7
2015.10.23p?ntek ,15,8
2015.10.24szombat ,15,8
2015.10.25vas?rnap ,15,9
2015.10.26h?tfo ,15,7
2015.10.27kedd ,14,7
2015.10.28szerda ,15,7
2015.10.29cs?t?rt?k ,14,5
2015.10.30p?ntek ,15,8
2015.10.31szombat ,17,8
2015.11.01vas?rnap ,16,3
2015.11.02h?tfo ,13,3
2015.11.03kedd ,13,4
2015.11.04szerda ,13,3
2015.11.05cs?t?rt?k ,15,7
2015.11.06p?ntek ,15,7
2015.11.07szombat ,15,10
2015.11.08vas?rnap ,18,9
2015.11.09h?tfo ,18,11
2015.11.10kedd ,18,12
2015.11.11szerda ,19,12
2015.11.12cs?t?rt?k ,18,10
2015.11.13p?ntek ,14,8
2015.11.14szombat ,12,6
2015.11.15vas?rnap ,10,4
2015.11.16h?tfo ,16,10
2015.11.17kedd ,17,5
2015.11.18szerda ,19,9
2015.11.19cs?t?rt?k ,17,9
2015.11.20p?ntek ,15,12
2015.11.21szombat ,9,3
2015.11.22vas?rnap ,6,1
2015.11.23h?tfo ,6,1
2015.11.24kedd ,6,0
2015.11.25szerda ,5,0
2015.11.26cs?t?rt?k ,5,-5
2015.11.27p?ntek ,5,1
2015.11.28szombat ,3,1
2015.11.29vas?rnap ,5,2
2015.11.30h?tfo ,10,3
2015.12.01kedd ,11,5
2015.12.02szerda ,11,6
2015.12.03cs?t?rt?k ,13,3
2015.12.04p?ntek ,9,0
2015.12.05szombat ,9,4
2015.12.06vas?rnap ,10,4
2015.12.07h?tfo ,9,3
2015.12.08kedd ,7,1
2015.12.09szerda ,6,2
2015.12.10cs?t?rt?k ,7,2
2015.12.11p?ntek ,7,1
2015.12.12szombat ,8,2
2015.12.13vas?rnap ,7,1
2015.12.14h?tfo ,6,0
2015.12.15kedd ,5,1
2015.12.16szerda ,8,2
2015.12.17cs?t?rt?k ,4,0
2015.12.18p?ntek ,5,-6
2015.12.19szombat ,5,2
2015.12.20vas?rnap ,5,1
2015.12.21h?tfo ,7,4
2015.12.22kedd ,10,5
2015.12.23szerda ,10,3
2015.12.24cs?t?rt?k ,8,2
2015.12.25p?ntek ,9,4
2015.12.26szombat ,11,5
2015.12.27vas?rnap ,12,5
2015.12.28h?tfo ,11,3
2015.12.29kedd ,8,-1
2015.12.30szerda ,2,-4
2015.12.31cs?t?rt?k ,2,-4
2016.01.01p?ntek ,-1,-4
2016.01.02szombat ,-2,-7
2016.01.03vas?rnap ,-4,-7
2016.01.04h?tfo ,-6,-8
2016.01.05kedd ,-3,-9
2016.01.06szerda ,0,-8
2016.01.07cs?t?rt?k ,1,-5
2016.01.08p?ntek ,2,-9
2016.01.09szombat ,2,0
2016.01.10vas?rnap ,4,1
2016.01.11h?tfo ,10,3
2016.01.12kedd ,6,2
2016.01.13szerda ,6,1
2016.01.14cs?t?rt?k ,5,-1
2016.01.15p?ntek ,2,-2
2016.01.16szombat ,4,-3
2016.01.17vas?rnap ,1,-4
2016.01.18h?tfo ,2,-4
2016.01.19kedd ,1,-5
2016.01.20szerda ,0,-4
2016.01.21cs?t?rt?k ,1,-4
2016.01.22p?ntek ,3,-3
2016.01.23szombat ,-1,-5
2016.01.24vas?rnap ,2,-1
2016.01.25h?tfo ,3,0
2016.01.26kedd ,5,2
2016.01.27szerda ,9,3
2016.01.28cs?t?rt?k ,9,3
2016.01.29p?ntek ,8,3
2016.01.30szombat ,9,2
2016.01.31vas?rnap ,9,4
2016.02.01h?tfo ,11,-2
2016.02.02kedd ,12,4
2016.02.03szerda ,9,2
2016.02.04cs?t?rt?k ,6,1
2016.02.05p?ntek ,6,1
2016.02.06szombat ,7,1
2016.02.07vas?rnap ,8,4
2016.02.08h?tfo ,9,6
2016.02.09kedd ,13,8
2016.02.10szerda ,9,3
2016.02.11cs?t?rt?k ,7,2
2016.02.12p?ntek ,8,1
2016.02.13szombat ,6,2
2016.02.14vas?rnap ,10,4
2016.02.15h?tfo ,8,3
2016.02.16kedd ,8,3
2016.02.17szerda ,11,7
2016.02.18cs?t?rt?k ,12,7
2016.02.19p?ntek ,8,2
2016.02.20szombat ,7,-3
